('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('King', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('Three', 'Sisters'))
('fire.txt', 'PERSON', ('Lady', 'Marla'))
('fire.txt', 'ORGANIZATION', ('House', 'Sunderland'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Ser', 'Warrick', 'Manderly'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Queen', 'Marla'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'PERSON', ('Qhorin', 'Volmark'))
('fire.txt', 'ORGANIZATION', ('Old', 'Wyk'))
('fire.txt', 'ORGANIZATION', ('Sea', 'Dragon'))
('fire.txt', 'ORGANIZATION', ('Drowned', 'God'))
('fire.txt', 'ORGANIZATION', ('Drowned', 'God'))
('fire.txt', 'GPE', ('Great', 'Wyk'))
('fire.txt', 'PERSON', ('Bear', 'Island'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Qhorin', 'Volmark'))
('fire.txt', 'ORGANIZATION', ('Old', 'Wyk'))
('fire.txt', 'ORGANIZATION', ('Drowned', 'God'))
('fire.txt', 'ORGANIZATION', ('Old', 'Wyk'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'ORGANIZATION', ('Casterly', 'Rock'))
('fire.txt', 'PERSON', ('Vickon', 'Greyjoy'))
('fire.txt', 'PERSON', ('Lord', 'Reaper'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'ORGANIZATION', ('House', 'Hoare'))
('fire.txt', 'PERSON', ('Ser', 'Quenton', 'Qoherys'))
('fire.txt', 'PERSON', ('Lord', 'Edmyn', 'Tully'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Quenton'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Tully'))
('fire.txt', 'ORGANIZATION', ('Three', 'Sisters'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Meria', 'Martell'))
('fire.txt', 'PERSON', ('Yellow', 'Toad'))
('fire.txt', 'ORGANIZATION', ('First', 'Dornish'))
('fire.txt', 'PERSON', ('Rhaenys', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Planky', 'Town'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Harlan', 'Tyrell'))
('fire.txt', 'ORGANIZATION', ('Red', 'Mountains'))
('fire.txt', 'PERSON', ('Lord', 'Tyrell'))
('fire.txt', 'PERSON', ('Uthor', 'Uller'))
('fire.txt', 'PERSON', ('Lord', 'Fowler'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Tyrell'))
('fire.txt', 'PERSON', ('Lord', 'Orys'))
('fire.txt', 'PERSON', ('Lord', 'Toland'))
('fire.txt', 'PERSON', ('Meria', 'Martell'))
('fire.txt', 'ORGANIZATION', ('Planky', 'Town'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'ORGANIZATION', ('King', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Meria', 'Martell'))
('fire.txt', 'PERSON', ('Jon', 'Rosby'))
('fire.txt', 'PERSON', ('Ghost', 'Hill'))
('fire.txt', 'ORGANIZATION', ('Spear', 'Tower'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Meria'))
('fire.txt', 'PERSON', ('Lord', 'Tyrell'))
('fire.txt', 'PERSON', ('Lord', 'Tyrell'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Rosby'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Visenya', 'Targaryen'))
('fire.txt', 'PERSON', ('Ghost', 'Hill'))
('fire.txt', 'PERSON', ('Lord', 'Fowler'))
('fire.txt', 'PERSON', ('Lord', 'Hightower'))
('fire.txt', 'PERSON', ('Ser', 'Joffrey', 'Dayne'))
('fire.txt', 'PERSON', ('Lord', 'Hightower'))
('fire.txt', 'PERSON', ('Addam', 'Hightower'))
('fire.txt', 'PERSON', ('Lord', 'Fowler'))
('fire.txt', 'PERSON', ('Ser', 'Addam'))
('fire.txt', 'PERSON', ('Ser', 'Joffrey'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Manfred'))
('fire.txt', 'ORGANIZATION', ('High', 'Tower'))
('fire.txt', 'PERSON', ('Rhaenys', 'Targaryen'))
('fire.txt', 'PERSON', ('Rhaenys', 'Targaryen'))
('fire.txt', 'PERSON', ('Lord', 'Vaith'))
('fire.txt', 'PERSON', ('Lady', 'Toland'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'PERSON', ('Lord', 'Mertyns'))
('fire.txt', 'PERSON', ('Lord', 'Fell'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'PERSON', ('Ser', 'Jon', 'Cafferen'))
('fire.txt', 'PERSON', ('Alys', 'Oakheart'))
('fire.txt', 'ORGANIZATION', ('Old', 'Oak'))
('fire.txt', 'PERSON', ('Lord', 'Oakheart'))
('fire.txt', 'PERSON', ('Lady', 'Alys'))
('fire.txt', 'ORGANIZATION', ('Free', 'Cities'))
('fire.txt', 'ORGANIZATION', ('House', 'Martell'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Meria', 'Martell'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'PERSON', ('Meria', 'Martell'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Deria'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Deria'))
('fire.txt', 'PERSON', ('Grand', 'Maester', 'Lucan'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Deria'))
('fire.txt', 'PERSON', ('Prince', 'Nymor'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Bay'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Maester', 'Clegg'))
('fire.txt', 'PERSON', ('Prince', 'Nymor'))
('fire.txt', 'ORGANIZATION', ('Faceless', 'Men'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'ORGANIZATION', ('First', 'Dornish'))
('fire.txt', 'ORGANIZATION', ('Yellow', 'Toad'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Red', 'Mountains'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Ronnel', 'Arryn'))
('fire.txt', 'PERSON', ('Torrhen', 'Stark'))
('fire.txt', 'PERSON', ('Loren', 'Lannister'))
('fire.txt', 'PERSON', ('Casterly', 'Rock'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'ORGANIZATION', ('House', 'Corbray'))
('fire.txt', 'ORGANIZATION', ('House', 'Hightower'))
('fire.txt', 'ORGANIZATION', ('House', 'Harlaw'))
('fire.txt', 'ORGANIZATION', ('House', 'Blackwood'))
('fire.txt', 'ORGANIZATION', ('House', 'Bracken'))
('fire.txt', 'PERSON', ('Aegon', 'Targaryen'))
('fire.txt', 'PERSON', ('Good', 'Queen', 'Alysanne'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'PERSON', ('Casterly', 'Rock'))
('fire.txt', 'PERSON', ('Old', 'Oak'))
('fire.txt', 'PERSON', ('Horn', 'Hill'))
('fire.txt', 'ORGANIZATION', ('Evenfall', 'Hall'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'ORGANIZATION', ('Black', 'Dread'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Sworn', 'Brother'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('Blackwater', 'Rush'))
('fire.txt', 'PERSON', ('High', 'Hill'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('Summer', 'Isles'))
('fire.txt', 'PERSON', ('Tall', 'Trees', 'Town'))
('fire.txt', 'PERSON', ('Ser', 'Osmund', 'Strong'))
('fire.txt', 'PERSON', ('Lord', 'Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Lord', 'Orys'))
('fire.txt', 'ORGANIZATION', ('Dornish', 'War'))
('fire.txt', 'PERSON', ('Edmyn', 'Tully'))
('fire.txt', 'PERSON', ('Alton', 'Celtigar'))
('fire.txt', 'PERSON', ('Claw', 'Isle'))
('fire.txt', 'PERSON', ('Ser', 'Osmund', 'Strong'))
('fire.txt', 'PERSON', ('Maester', 'Gawen'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Archmaester', 'Ollidar'))
('fire.txt', 'PERSON', ('Archmaester', 'Lyonce'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('Queens', 'Rhaenys'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Dornish', 'Marches'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Lord', 'Monkeyface'))
('fire.txt', 'GPE', ('Visenya', 'Targaryen'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'ORGANIZATION', ('Dornish', 'War'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('King', 'Aegon'))
('fire.txt', 'PERSON', ('Ser', 'Richard', 'Roote'))
('fire.txt', 'PERSON', ('Ser', 'Addison', 'Hill'))
('fire.txt', 'PERSON', ('Ser', 'Gregor', 'Goode'))
('fire.txt', 'PERSON', ('Ser', 'Griffith', 'Goode'))
('fire.txt', 'PERSON', ('Ser', 'Humfrey'))
('fire.txt', 'PERSON', ('Ser', 'Robin', 'Darklyn'))
('fire.txt', 'PERSON', ('Ser', 'Corlys', 'Velaryon'))
('fire.txt', 'PERSON', ('Lord', 'Commander'))
('fire.txt', 'PERSON', ('Visenya', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Aenys', 'Targaryen'))
('fire.txt', 'PERSON', ('Queen', 'Rhaenys'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Maegor', 'Targaryen'))
('fire.txt', 'PERSON', ('Ser', 'Gawen', 'Corbray'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'PERSON', ('Old', 'Valyria'))
('fire.txt', 'ORGANIZATION', ('Drowned', 'God'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Islands'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Lord', 'Hightower'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('High', 'Septons'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Septons', 'of', 'King', 'Aegon'))
('fire.txt', 'ORGANIZATION', ('Lady', 'Alyssa'))
('fire.txt', 'PERSON', ('Aethan', 'Velaryon'))
('fire.txt', 'PERSON', ('King', 'Aegon'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'ORGANIZATION', ('Iron', 'Throne'))
('fire.txt', 'ORGANIZATION', ('Prince', 'Maegor'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'ORGANIZATION', ('High', 'Holiness'))
('fire.txt', 'PERSON', ('Ceryse', 'Hightower'))
('fire.txt', 'PERSON', ('Manfred', 'Hightower'))
('fire.txt', 'PERSON', ('Maegor', 'Targaryen'))
('fire.txt', 'PERSON', ('Lady', 'Ceryse', 'Hightower'))
('fire.txt', 'PERSON', ('Starry', 'Sept'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Lady', 'Alyssa'))
('fire.txt', 'ORGANIZATION', ('Prince', 'Aenys'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'ORGANIZATION', ('Prince', 'Maegor'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Prince', 'Aegon'))
('fire.txt', 'PERSON', ('Prince', 'Aenys'))
('fire.txt', 'PERSON', ('Grand', 'Maester', 'Gawen'))
('fire.txt', 'PERSON', ('Larissa', 'Velaryon'))
('fire.txt', 'PERSON', ('Samantha', 'Stokeworth'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Rhaena'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Alysanne'))
('fire.txt', 'ORGANIZATION', ('Prince', 'Maegor'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Lady', 'Ceryse'))
('fire.txt', 'PERSON', ('Prince', 'Maegor'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Osmund', 'Strong'))
('fire.txt', 'PERSON', ('Aethan', 'Velaryon'))
('fire.txt', 'PERSON', ('Sargoso', 'Saan'))
('fire.txt', 'PERSON', ('Deria', 'Martell'))
('fire.txt', 'PERSON', ('Lady', 'Alyssa'))
('fire.txt', 'PERSON', ('High', 'Hill'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Lord', 'Alyn', 'Stokeworth'))
('fire.txt', 'ORGANIZATION', ('Ser', 'Osmund', 'Strong'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'ORGANIZATION', ('Red', 'Keep'))
('fire.txt', 'ORGANIZATION', ('Painted', 'Table'))
('fire.txt', 'GPE', ('Prince', 'Maegor'))
('fire.txt', 'ORGANIZATION', ('Old', 'Valyria'))
('fire.txt', 'PERSON', ('Prince', 'Maegor'))
('fire.txt', 'PERSON', ('Grand', 'Maester', 'Gawen'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'ORGANIZATION', ('First', 'Men'))
('fire.txt', 'ORGANIZATION', ('Seven', 'Kingdoms'))
('fire.txt', 'PERSON', ('Prince', 'Maegor'))
('fire.txt', 'PERSON', ('Queen', 'Visenya'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'PERSON', ('Prince', 'Maegor'))
('fire.txt', 'ORGANIZATION', ('House', 'Targaryen'))
('fire.txt', 'PERSON', ('Dark', 'Sister'))
('fire.txt', 'ORGANIZATION', ('Red', 'Keep'))
('fire.txt', 'ORGANIZATION', ('High', 'Septon'))
('fire.txt', 'PERSON', ('Prince', 'Viserys'))
('fire.txt', 'ORGANIZATION', ('Dornish', 'Marches'))
('fire.txt', 'ORGANIZATION', ('Princess', 'Rhaena'))
('fire.txt', 'PERSON', ('Orys', 'Baratheon'))
('fire.txt', 'PERSON', ('Melony', 'Piper'))
('fire.txt', 'PERSON', ('Queen', 'Alyssa'))
('fire.txt', 'PERSON', ('Lady', 'Melony'))
